time="2024-08-13T19:19:11+04:00" level=info msg="Service starting..."
time="2024-08-13T19:19:11+04:00" level=info msg="Loaded configuration: {RpcURL:wss//rpc.titan-sepolia.tokamak.network HttpURL:https://rpc.titan-sepolia.tokamak.network PrivateKey:0xac0974bec39a17e36ba4a6b4d238ff944bacb478cbed5efcae784d7bf4f2ff80 ContractAddress:0xb25aB1b23edB0341c68179aEE13A7B43C73AAfE0 WalletAddress:0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266 SubgraphURL:https://graph-node.titan-sepolia.tokamak.network/subgraphs/name/drb-subgraph}"
time="2024-08-13T19:19:11+04:00" level=info msg="PoFClient created successfully"
time="2024-08-13T19:19:11+04:00" level=info msg="Service is now running"
time="2024-08-13T19:19:27+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:19:41+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:19:56+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:20:11+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:20:26+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:20:41+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:21:02+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:21:14+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:21:29+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:21:44+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:49:15+04:00" level=info msg="Service starting..."
time="2024-08-13T19:49:15+04:00" level=info msg="Loaded configuration: {RpcURL:wss//rpc.titan-sepolia.tokamak.network HttpURL:https://rpc.titan-sepolia.tokamak.network PrivateKey:0xac0974bec39a17e36ba4a6b4d238ff944bacb478cbed5efcae784d7bf4f2ff80 ContractAddress:0xb25aB1b23edB0341c68179aEE13A7B43C73AAfE0 WalletAddress:0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266 SubgraphURL:https://graph-node.titan-sepolia.tokamak.network/subgraphs/name/drb-subgraph}"
time="2024-08-13T19:49:15+04:00" level=info msg="PoFClient created successfully"
time="2024-08-13T19:49:15+04:00" level=info msg="Service is now running"
time="2024-08-13T19:49:37+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:50:45+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:51:33+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:51:38+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:51:49+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:52:05+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:52:19+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:52:34+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:52:49+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:53:04+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:53:19+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:53:34+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:53:46+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:54:00+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:54:15+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:54:30+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:54:46+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:55:00+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:55:16+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:55:30+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:55:45+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:56:00+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:56:16+04:00" level=info msg="Round results processed successfully"
time="2024-08-13T19:56:30+04:00" level=info msg="Round results processed successfully"
